_id,date,dateString,devices,group,lat,lng
ObjectId(6048a2e17910af0028660757),2021-03-10T10:43:45.562Z,"3/10/2021, 5:43:45 PM",[],ObjectId(6048a2e17910af0028660756),0,0
ObjectId(6048a3c57910af002866075b),2021-03-10T10:47:33.274Z,"3/10/2021, 5:47:33 PM",[],ObjectId(6048a2e17910af0028660756),0,0
ObjectId(6048a57c7910af0028660760),2021-03-10T10:54:52.054Z,"3/10/2021, 5:54:52 PM",[],ObjectId(6048a2e17910af0028660756),13.727722,100.775169
ObjectId(6048a6a77910af0028660770),2021-03-10T10:59:51.711Z,"3/10/2021, 5:59:51 PM",[],ObjectId(6048a2e17910af0028660756),13.727736,100.775108
ObjectId(604949d8fcef70002944de84),2021-03-10T22:36:08.034Z,"3/11/2021, 5:36:08 AM",[],ObjectId(604949d8fcef70002944de83),13.75,90.51
ObjectId(60494d20fcef70002944de89),2021-03-10T22:50:08.624Z,"3/11/2021, 5:50:08 AM",[],ObjectId(604949d8fcef70002944de83),13.75,100.51
ObjectId(604b1f39fcef70002944de8e),2021-03-12T07:58:49.070Z,"3/12/2021, 2:58:49 PM",[],ObjectId(604949d8fcef70002944de83),13.75,100.51
ObjectId(604b3a4f7c0bc3003c4e0de0),2021-03-12T09:54:23.087Z,"3/12/2021, 4:54:23 PM",[],ObjectId(604b3a4f7c0bc3003c4e0ddf),13.75,90.51
ObjectId(604b3a697c0bc3003c4e0de5),2021-03-12T09:54:49.617Z,"3/12/2021, 4:54:49 PM",[],ObjectId(604b3a4f7c0bc3003c4e0ddf),13.75,100.51
ObjectId(604b3a8a7c0bc3003c4e0dea),2021-03-12T09:55:22.845Z,"3/12/2021, 4:55:22 PM",[],ObjectId(604b3a4f7c0bc3003c4e0ddf),13.75,101.51
ObjectId(604b3b1d7c0bc3003c4e0def),2021-03-12T09:57:49.904Z,"3/12/2021, 4:57:49 PM",[],ObjectId(604b3a4f7c0bc3003c4e0ddf),13.75,103.51
